,expert_returns,dagger_returns_0,dagger_returns_1,dagger_returns_2,dagger_returns_3,dagger_returns_4,dagger_returns_5,dagger_returns_6,dagger_returns_7,dagger_returns_8,dagger_returns_9,dagger_returns_10,dagger_returns_11,dagger_returns_12,dagger_returns_13,dagger_returns_14,dagger_returns_15,dagger_returns_16,dagger_returns_17,dagger_returns_18,dagger_returns_19
10,4150.664560660921,3813.2600826379985,3740.923934683361,3687.231884728371,3690.856523340497,3430.932103016683,3915.7197180368526,3798.334126639692,3667.1676847554,3646.0011554287057,3589.046019321934,3459.527135865372,3541.7889744952463,3705.3599018925165,3681.9978843359713,3748.390787804001,3501.559725962508,3565.625196448348,3751.0367093584587,3785.320872862051,3640.7013054056292
11,4036.21337012765,3851.82423807706,3592.4968943140057,3686.928303583133,3453.475137436662,3621.17970842493,3875.4585058261555,3815.8544850196517,3620.762931849441,3722.864327420482,3529.392067642956,3785.4647301381624,3549.7794780294685,3566.569336624924,3539.295303027672,3634.5726252307095,3652.23480951327,3570.783049772364,3759.223186854908,3650.003390361925,2922.690856964266
12,3889.4599059159505,3674.4374477749643,3656.823561788875,3557.0741685822873,3590.957493666805,3585.5071592401446,3642.208442385253,3658.5626064529597,3712.344670861631,3750.435684646692,3498.614999375699,3629.985014081893,3570.6337410674614,3657.9307243138346,3619.899609667451,3634.0412423456646,3562.89444817638,3636.4589646953823,3634.7820015838356,3568.158737931839,4034.8098342241005
13,4176.448539501756,3696.886569186312,3939.8693315360483,3670.756834866076,3581.16839998258,3930.855950088389,2099.321812781965,3596.2468246316316,3568.6310228859184,3692.9952385907404,3928.5080881362,3624.2071745272165,3575.6510819864698,3801.9348137511574,3919.8041793327325,3811.8590640855937,3622.508350719985,2686.503077739425,3666.346240189157,3741.2397344299166,3701.48500295581
14,4238.363725892788,3728.4746234074596,1953.002393778324,3866.4347196270182,3521.3270978900414,3721.2353518401105,3591.0943278509485,3877.825705497058,3626.768037309038,3637.291425390589,3835.078595382881,3740.8907706520113,3947.855030051267,3606.847913178677,3711.303774213596,3517.1542391106623,3499.8989782773074,3727.109116769612,3608.903341710837,3558.779018962641,3604.1199827127675
15,4256.230672636765,3795.0643712229926,3866.524381883486,3535.269226409787,3772.9512668366697,3925.66401366992,3567.39081081465,3751.924039604605,3807.2296744442574,3570.770939454081,3596.9517376645517,3564.361432926632,3621.9335571283136,3593.470567489778,3833.290012539293,3572.866879477264,3625.23713490829,3615.031396256309,3476.3968998812065,3679.627927380559,3760.561921837886
16,4044.684129033144,3709.2420146930635,3355.495414788505,3684.2353781166626,3669.5585366825035,3963.6604883533437,3328.9569987716827,3575.8433400661934,3835.8373350130933,3461.3105806079484,3886.2071585011163,3688.543407907335,3683.951521253995,3633.646743124004,3696.186088460853,3203.069520602776,3806.4917419320414,3573.9413612770745,3607.7481597083693,3689.641341883264,3636.8346631065388
17,4073.7074916318825,3626.837733257945,3773.7659294059363,3674.3869182202093,3496.663050608347,3766.8827645482647,3745.974379035984,3829.9342262942923,3765.877710034613,3773.2761541515115,3662.7400331401254,3463.2498853354973,3683.542454496248,3577.0337196487735,3733.4166087952185,3717.455516622261,3705.87920009847,2398.2154479619057,3745.6449281505406,3621.808093153504,3836.7876728254155
18,4163.6599195996005,3805.2154939078832,3657.646639031483,3671.361857670207,3320.6515532533335,3470.7471387744204,1759.8291233460864,3616.1646565513734,3500.7588936944767,3757.965343604904,3519.856503170624,3721.932023743586,3458.537525410815,3596.988563873342,3706.5846505523405,3655.160067893229,3537.6864631697053,3730.6548007543684,3724.6797540585753,3763.9176386070135,3733.2871690724087
19,4197.95864533972,3648.834375746904,652.6230711879645,3589.305186061639,716.9676303581456,3630.091993481006,3659.0181411993976,3721.7221068180493,3462.488554464382,3862.6899439343456,3690.3049828595776,3602.8434664123315,3723.1114679904194,3734.2037904386266,3679.7695914238684,3708.786874350119,3723.829834287694,3704.9128160955433,3680.8739481366574,3655.963363090676,3593.0378995148585
