,expert_returns,dagger_returns_0,dagger_returns_1,dagger_returns_2,dagger_returns_3,dagger_returns_4,dagger_returns_5,dagger_returns_6,dagger_returns_7,dagger_returns_8,dagger_returns_9,dagger_returns_10,dagger_returns_11,dagger_returns_12,dagger_returns_13,dagger_returns_14,dagger_returns_15,dagger_returns_16,dagger_returns_17,dagger_returns_18,dagger_returns_19
0,4882.301218749896,4577.959331288452,4690.879083121753,4547.437617670328,4428.708971434858,4692.252025360497,4531.634865210906,4812.329390890922,4550.768306668788,4757.678235920028,4778.950856622349,4585.360452600461,4654.845401317135,4270.111410112982,4603.571594841076,4490.272556626229,4777.435953850081,4640.66581769201,4589.53926543666,4762.757082872834,4705.705977475786
1,4793.684649153336,4632.201644069584,4640.150133956354,4869.359840102299,4444.736626914859,4795.279915782176,4655.754452281196,4395.833411206944,4458.031770241266,4785.057374813903,4698.894075903333,4492.105861508746,4415.9618586630695,4442.286964886979,4656.498307332996,4326.010300108999,4638.832964238522,4434.986101157379,4453.348503563309,4680.797426577185,4924.302112898149
2,5040.43944113754,4547.570466025231,4612.018171982691,177.64317494681492,4573.045851960363,4601.983027555947,4602.646121336025,4944.387072160087,4894.507652823067,4769.549299482072,4646.651432948547,4622.01059759215,4444.33266589123,4470.770177477842,4750.24161926739,4467.026484256519,4711.294425745853,4955.40320725071,2142.0600698497383,4789.925978514673,4760.159173061427
3,4808.152384040936,4745.83139633463,4695.229049326238,4857.696654034658,366.5994077270259,2393.31723350024,4656.0977619992955,4926.513926015928,4650.821271948178,4680.2250507715235,4651.121605171762,3415.0966242814866,4457.318510695371,4631.552455063967,4679.2429915928515,4583.669500255375,4746.896950319302,4644.014474730005,4411.762627319998,4898.847207917583,4533.774711159529
4,4791.133399438868,95.86958833351049,4574.216209509392,4949.261443497706,4540.407534577343,4579.188177796184,4872.279276380999,4529.001395569583,4789.5152079414875,4937.563901319245,4795.624100425215,4636.097946354533,4459.809249390897,4340.289317262809,4697.347317554668,4376.526394902342,4759.716411957792,4711.154978814768,4564.611734804933,4655.880792649811,4678.875339817397
5,4858.065618903569,2857.2195138808734,4719.521834897418,5023.097925323058,4479.845600009596,4456.2514605357865,4701.156126417136,4830.585576919692,4848.986136003229,4917.969493851604,4931.222278319983,4387.546891501886,4620.093171391659,4634.25461872892,4636.02182127317,4412.052623550857,4715.619251421619,4833.767207860321,2405.867978697375,4678.252458243878,4394.8422046915975
6,4762.528049110627,4571.25798111054,4677.751737405538,4793.114349900626,4651.7622727167145,4747.826227920243,4698.539474272236,4553.549223062199,4862.303048936934,4785.361432131914,4630.336188064758,4535.44410630923,4615.603795493903,4560.121506185938,4762.344852463052,4471.826405528655,4514.798091267014,4380.472337130529,4612.726012878584,4612.019248883779,4777.993954055416
7,4688.008390202279,4483.878186965787,4690.194253766799,5050.978022850317,4445.719860191514,4684.716034285437,4639.489850419345,2733.2210683407197,4687.147578777367,4788.974701490669,4740.4591258632545,4516.08527618947,4543.662479262171,4696.689167127882,4535.638817670836,4525.941975108526,1915.292167171419,4524.5911285915545,4526.989535976601,4430.434312086167,4509.639143332846
8,4956.86739965147,4048.2062588440795,4604.172964875317,4666.6936002921375,4437.290114239066,4787.686784022914,4779.163093094127,4894.571257689973,4620.009029370582,568.3354833896602,4696.697722610053,4529.961727655795,4491.5208630361285,4618.411069382722,4692.924431916461,4480.064922320115,4857.536234428158,4535.941955449358,4593.712747401794,4640.030343442756,4634.4157804874285
9,4888.96870992834,4470.120773584378,4689.130394338958,4898.8242812766475,4701.218257535479,4442.807050309031,4700.961194495799,4735.0104985136895,4742.005642403822,4862.933895497033,4712.406182630066,4688.07877374975,4606.546533871263,4700.328939227929,4613.326861806666,4690.871876217867,4493.138708549064,4718.471494051359,1526.3475620351544,4861.722312633395,4625.322502561074
10,4729.660354946879,4607.15123511992,4798.675299133717,4748.404252444585,4457.8331935338365,4634.022143689898,4749.339164023951,4677.010160454374,4663.6117929516395,4684.854393513499,4697.3231200376995,4639.914408783952,4668.888844683698,1381.4457123379725,4688.568612004949,4573.703140885028,4650.827712735279,4748.649196464528,4450.2995182840405,3529.4027941814547,4488.586797784741
11,4792.43955130945,3915.8816179067844,4689.580316743285,4883.80048058043,4523.413760293253,4589.6639326578,4914.881958223154,4837.250583062728,4808.807750322421,4850.00636933076,4515.987910092498,4624.02263175077,4654.517379585251,4602.704068891597,4491.873172495045,4546.054778963944,4589.7661764698405,4632.96457377106,4485.719656127608,4605.268814549568,4614.422603718723
12,4868.688298300423,4513.329756002412,4653.685601569649,5016.170378773544,4685.864867918885,4842.973602359863,4666.314475625995,4730.474906697429,4626.625072362387,2582.795167254793,4737.952169277856,4446.700028849418,4556.444525371938,4713.929620237816,4589.21051760752,4169.48467632285,4765.68551996157,4493.465017512424,4435.090912787679,4901.135460548843,4496.873586333653
13,4865.720572395348,4552.638573252869,3958.454002297485,4680.349545454196,2805.3125401757384,4709.49412441083,4804.868216821666,4805.393932767068,4722.642214362214,4872.981830485589,4814.369845188654,1898.5335632107615,4695.318967566891,4834.503214234263,4658.656199314581,4436.120924616089,4912.697291644352,4726.653301338457,3269.929620741229,4808.734576401788,4432.391698809961
14,4715.557598998813,4510.334387903226,4601.995895600252,4847.947653143477,4229.199991619332,4548.892031626974,4538.635776958669,4835.627756481477,4931.541154025761,4764.433600884411,4772.25606031144,4716.039388636584,4443.780164422532,4760.742876084658,4698.8507644885185,4599.325952130944,4538.532510903076,4673.007408065364,4314.862581984056,4673.973148465081,4601.396118710192
15,4759.171247526421,4581.758462869813,4616.02459840872,4816.342917468397,4440.700485194531,4521.125509138151,4691.905540481109,4817.822547251649,4675.11575579338,4541.121308699591,4668.875816590041,4459.0666385999,4509.396560185468,4450.968336905324,4702.350743790134,4520.860565328714,4634.670130498446,4609.427425085798,4530.346574131819,4795.8264859923065,4748.50809585487
16,4780.753653272296,4323.632357964701,4736.923578488599,4860.439262961701,4553.408904427851,4770.510393335511,4409.1431258902085,4808.35083136867,4742.724010579459,4832.663409490257,4672.143071691949,4596.583067856792,4444.078899303614,4437.139668228601,4819.0935948690385,4507.742833464945,4729.430453363783,4687.059878987417,4512.771676970364,4830.365588251407,4636.509584252443
17,4842.0013151154235,1585.1441114223405,4638.956203422843,4659.194560269376,4399.366373103076,1197.2242591216216,4584.817774178387,4818.4819099450615,4828.5801817623105,4421.090276513388,4751.022445802858,4405.889975494866,4461.810879588838,4235.971724126768,4760.53073910198,4674.312816481319,4496.8651349923275,4685.7264707305,4646.053594879455,4757.330071482137,4756.294530407691
18,4627.160424216583,4709.023920278807,4747.822964101483,1101.9711020586121,4846.986975260047,4535.308394651209,4540.534635119798,4757.299393602594,4634.40457350287,4680.06349572369,4771.592902034925,4512.353004607341,4507.29745480662,4629.284585130874,4669.911623303875,4342.564972435562,4574.97084154727,4675.987314574115,4480.887241303508,4801.477129061687,4746.408467665133
19,4789.252621912744,4627.011146958965,4614.2579324577055,4758.98256247255,4558.832595165905,4451.001785108002,4644.985951339906,4783.899607058837,4727.083875106842,4724.751702177985,4603.783217505066,4553.380837418322,4273.536713471665,4617.2466437582,4648.053079259232,4639.66058317062,4443.359838461047,4761.768787698754,3977.953465269942,4831.770934978784,4716.679380012354
