,bc_returns,expert_returns
0,-6.167754864926157,-3.6464041018453432
1,-6.301576998566434,-7.601708826159516
2,-4.748255568837924,-5.915910451118191
3,-122.39162315774827,-7.293562620475331
4,-9.959465350336462,-3.341954651770122
5,-10.155648851999203,-4.101131382781665
6,-9.651771451423173,-5.4277595263629825
7,-4.140988379812007,-3.04364111154016
8,-13.94290081751467,-6.302121100055251
9,-3.9156767423130896,-4.103754856850668
10,-13.170584112302535,-4.2641878643554785
11,-12.352858907072653,-6.821967369657524
12,-8.039979718779037,-3.5627267251608927
13,-150.75498743102335,-2.287314139466628
14,-10.805611369400072,-6.874883448191997
15,-104.95719315027037,-3.246746072904811
16,-9.029247002984507,-2.487219050470221
17,-6.649769360604947,-2.46185885060805
18,-7.397859736861224,-1.1565939225835882
19,-9.160808350099677,-4.0533994989485125
