,bc_returns,expert_returns
0,195.31896064124973,10465.204959350433
1,174.04903055761994,10399.830781378796
2,168.62463788624743,10279.561294967454
3,173.77405488040716,10372.92557540051
4,184.8658072507312,10448.228009017717
5,177.35683059449278,10489.380779924084
6,162.32952211650314,10369.322703464672
7,176.94521876106282,10498.661254642766
8,173.58652591438886,10398.605719151321
9,188.1640556331284,10395.539125295245
10,172.66182567432327,10460.723527447506
11,288.01856789457565,10472.68806561521
12,188.31639778241419,10424.752763955832
13,158.54551246337738,10477.065401589545
14,189.80998533077485,10408.779127010119
15,175.94874443663338,10440.63144337942
16,185.61817800208615,10378.454535475079
17,200.97955599319593,10470.591597251816
18,179.54268841582874,10348.292431998254
19,134.2049533538079,10455.320562799465
