,bc_returns,expert_returns
0,4703.1622467650095,4740.663932831365
1,4535.010107509145,4901.296789086401
2,4449.773532922406,4944.188055882658
3,4321.07067282581,4909.870405652718
4,4583.796856442903,4858.045732136095
5,4720.3608677075445,4948.145700644678
6,4513.351532266054,4787.338265664362
7,4198.646967148179,4777.493413776344
8,4668.487100308899,4890.805040133517
9,4483.378584379952,4658.945490933608
10,4572.9488575514115,4769.179425966141
11,4400.188603433205,4704.759024290831
12,4779.372967174165,4728.271909406251
13,4506.759732615213,4903.411271446648
14,4564.470063289966,4776.020510450909
15,4460.768385470365,4769.459891021068
16,4373.504592538167,4828.275210996013
17,4548.326827792171,4818.199660406381
18,4757.1919727942795,4896.609680856769
19,4271.48959939298,4967.728118512618
