,bc_returns,expert_returns
0,3715.1652692961156,4223.865619262848
1,3619.2976172196795,4180.276642030364
2,3490.235660807302,4241.166812312528
3,3532.8592167167735,4120.682089635894
4,3736.166378759116,4222.736886078892
5,3831.319254052072,4061.828357400183
6,3585.474811509492,4105.623312308185
7,3933.5280837464566,4177.826081542834
8,3887.1982122245545,4274.312739434151
9,3708.771348458409,4203.550241146883
10,3822.3956752897043,4219.240578959374
11,3720.6966567686677,4083.9339734812543
12,3370.4416318427866,4021.8205730981313
13,3516.003144998764,4238.0973668209635
14,3835.2409003121147,4199.506052632143
15,3647.5933983107443,3954.8061563721667
16,3908.254998919751,4118.5922874652415
17,3843.2436190513336,4215.52447629278
18,3534.457833471458,4052.434927047599
19,3884.7046214685797,4240.650924384954
