,bc_returns,expert_returns
0,140.0681735067394,5509.265471252501
1,258.04036855665237,5579.959368849691
2,237.089301380335,5625.432154577169
3,644.9971851140882,5512.10182380896
4,772.8160115612953,5372.446141404883
5,811.0381694249246,5549.408963983172
6,392.44092014564956,5494.194628910849
7,260.7250759056736,5531.687694307248
8,363.9567622154745,5548.856657596008
9,394.7347206786497,5474.629955200121
10,288.78740185237467,5477.5967622195685
11,378.51284360900985,5420.4368144967875
12,376.15771630891,5405.0178210104505
13,261.50481407684276,5491.648571961311
14,231.01573318668073,5541.8716650754905
15,257.18248115819216,5507.650466218029
16,298.2931110262243,5594.410771634455
17,376.55856203955614,5560.340696219851
18,203.34547560656446,5573.0384817000895
19,358.5208316275813,5551.5335976155075
